期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
Social Cognitive and Affective Neuroscience,SOC COGN AFFECT NEUR,14/93,16/93,1749-5016,1749-5024,PSYCHOLOGY,9294.0,3.6,Q1,1.1,100.0,SCIE
JOURNAL OF APPLIED SPORT PSYCHOLOGY,J APPL SPORT PSYCHOL,36/93,16/93,1041-3200,1533-1571,PSYCHOLOGY,3242.0,3.6,Q1,1.02,28.13,SCIE
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,15/105,23/106,0962-8452,1471-2954,BIOLOGY,61725.0,3.6,Q1,1.02,61.82,SCIE
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,7/55,8/57,1530-7026,1531-135X,BEHAVIORAL SCIENCES,5640.0,3.6,Q1,0.98,50.5,SCIE
Journal of Taibah University for Science,J TAIBAH UNIV SCI,61/135,34/140,1658-3655,1658-3655,MULTIDISCIPLINARY SCIENCES,3678.0,3.6,Q1,0.95,100.0,SCIE
HUMAN FACTORS,HUM FACTORS,9/55,8/57,0018-7208,1547-8181,BEHAVIORAL SCIENCES,11950.0,3.6,Q1,0.93,30.99,SCIE
POSTGRADUATE MEDICAL JOURNAL,POSTGRAD MED J,69/315,64/336,0032-5473,1469-0756,"MEDICINE, GENERAL & INTERNAL",7343.0,3.6,Q1,0.89,17.84,SCIE
Frontiers in Medicine,FRONT MED-LAUSANNE,60/315,64/336,,2296-858X,"MEDICINE, GENERAL & INTERNAL",54614.0,3.6,Q1,0.83,99.93,SCIE
Archives of Medical Science,ARCH MED SCI,92/315,64/336,1734-1922,1896-9151,"MEDICINE, GENERAL & INTERNAL",5892.0,3.6,Q1,0.82,99.83,SCIE
Frontiers in Human Neuroscience,FRONT HUM NEUROSCI,31/93,16/93,1662-5161,1662-5161,PSYCHOLOGY,34636.0,3.6,Q1,0.82,99.87,SCIE
Anesthesia and Pain Medicine,ANESTH PAIN MED,,16/72,1975-5171,2383-7977,ANESTHESIOLOGY,1726.0,3.6,Q1,0.74,99.32,ESCI
Scientifica,SCIENTIFICA,47/105,23/106,2090-908X,2090-908X,BIOLOGY,2754.0,3.6,Q1,0.7,100.0,ESCI
JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,10/93,21/93,0749-596X,1096-0821,PSYCHOLOGY,10957.0,3.5,Q1,1.43,58.76,SCIE
Eating Disorders,EAT DISORD,34/93,21/93,1064-0266,1532-530X,PSYCHOLOGY,2121.0,3.5,Q1,1.26,8.52,SCIE
Journal of Radiation Research and Applied Sciences,J RADIAT RES APPL SC,60/135,35/140,1687-8507,1687-8507,MULTIDISCIPLINARY SCIENCES,5756.0,3.5,Q1,1.07,100.0,SCIE
Minerva Anestesiologica,MINERVA ANESTESIOL,31/69,18/72,0375-9393,1827-1596,ANESTHESIOLOGY,3767.0,3.5,Q1,0.83,10.93,SCIE
BJA Open,BJA OPEN,19/69,18/72,,2772-6096,ANESTHESIOLOGY,505.0,3.5,Q1,0.81,99.43,ESCI
Psychology of Sexual Orientation and Gender Diversity,PSYCHOL SEX ORIENTAT,18/93,23/93,2329-0382,2329-0390,PSYCHOLOGY,3769.0,3.4,Q1,1.37,30.31,SCIE
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,PSYCHOL PSYCHOTHER-T,27/93,23/93,1476-0835,2044-8341,PSYCHOLOGY,2687.0,3.4,Q1,0.88,77.27,SCIE
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,51/105,25/106,1476-9271,1476-928X,BIOLOGY,4749.0,3.4,Q1,0.78,9.99,SCIE
Frontiers in Behavioral Neuroscience,FRONT BEHAV NEUROSCI,12/55,10/57,1662-5153,,BEHAVIORAL SCIENCES,12578.0,3.4,Q1,0.76,100.0,SCIE
BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,13/55,11/57,0301-0511,1873-6246,BEHAVIORAL SCIENCES,11265.0,3.3,Q1,0.99,33.09,SCIE
Journal of Clinical Medicine,J CLIN MED,63/315,67/336,,2077-0383,"MEDICINE, GENERAL & INTERNAL",132600.0,3.3,Q1,0.86,99.95,SCIE
Life Sciences in Space Research,LIFE SCI SPACE RES,41/105,26/106,2214-5524,2214-5532,BIOLOGY,1427.0,3.3,Q1,0.71,35.79,SCIE
BIOESSAYS,BIOESSAYS,21/105,26/106,0265-9247,1521-1878,BIOLOGY,10137.0,3.3,Q1,0.59,63.92,SCIE
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,J URBAN HEALTH,40/315,68/336,1099-3460,1468-2869,"MEDICINE, GENERAL & INTERNAL",6263.0,3.2,Q1,1.04,36.74,SCIE
Current Research in Behavioral Sciences,CURR RES BEHAV SCI,,12/57,2666-5182,2666-5182,BEHAVIORAL SCIENCES,518.0,3.2,Q1,0.98,100.0,ESCI
Preventive Medicine,PREV MED,43/315,68/336,0091-7435,1096-0260,"MEDICINE, GENERAL & INTERNAL",20853.0,3.2,Q1,0.97,30.22,SCIE
CORTEX,CORTEX,8/55,12/57,0010-9452,1973-8102,BEHAVIORAL SCIENCES,14510.0,3.2,Q1,0.95,57.02,SCIE
JOURNAL OF KOREAN MEDICAL SCIENCE,J KOREAN MED SCI,85/315,68/336,1011-8934,1598-6357,"MEDICINE, GENERAL & INTERNAL",10211.0,3.2,Q1,0.84,97.98,SCIE
TISSUE & CELL,TISSUE CELL,7/22,1/25,0040-8166,,ANATOMY & MORPHOLOGY,5552.0,3.1,Q1,1.07,11.7,SCIE
JOURNAL OF MEDICAL ECONOMICS,J MED ECON,67/315,71/336,1369-6998,1941-837X,"MEDICINE, GENERAL & INTERNAL",4043.0,3.1,Q1,1.01,100.0,SCIE
YONSEI MEDICAL JOURNAL,YONSEI MED J,88/315,71/336,0513-5796,1976-2437,"MEDICINE, GENERAL & INTERNAL",5329.0,3.1,Q1,0.8,100.0,SCIE
Brain Structure & Function,BRAIN STRUCT FUNCT,1/22,2/25,1863-2653,1863-2661,ANATOMY & MORPHOLOGY,8730.0,3.0,Q1,1.17,49.26,SCIE
Frontiers in Integrative Neuroscience,FRONT INTEGR NEUROSC,10/55,14/57,1662-5145,1662-5145,BEHAVIORAL SCIENCES,3700.0,3.0,Q1,0.72,100.0,SCIE
BioMedicine-Taiwan,BIOMEDICINE-TAIWAN,106/315,73/336,2211-8020,2211-8039,"MEDICINE, GENERAL & INTERNAL",996.0,3.0,Q1,0.54,98.59,ESCI
HONG KONG MEDICAL JOURNAL,HONG KONG MED J,91/315,73/336,1024-2708,1024-2708,"MEDICINE, GENERAL & INTERNAL",1854.0,3.0,Q1,0.47,100.0,SCIE
BMC Primary Care,BMC PRIM CARE,65/315,75/336,,2731-4553,"MEDICINE, GENERAL & INTERNAL",3510.0,2.9,Q1,1.52,100.0,SCIE
Medicina-Lithuania,MEDICINA-LITHUANIA,90/315,75/336,1010-660X,1648-9144,"MEDICINE, GENERAL & INTERNAL",30609.0,2.9,Q1,0.75,99.92,SCIE
Health Science Reports,HEALTH SCI REP-US,98/315,75/336,,2398-8835,"MEDICINE, GENERAL & INTERNAL",6291.0,2.9,Q1,0.69,100.0,ESCI
Pragmatic and Observational Research,PRAGMAT OBS RES,75/315,75/336,1179-7266,1179-7266,"MEDICINE, GENERAL & INTERNAL",297.0,2.9,Q1,0.68,100.0,ESCI
ANNALS ACADEMY OF MEDICINE SINGAPORE,ANN ACAD MED SINGAP,84/315,75/336,,2972-4066,"MEDICINE, GENERAL & INTERNAL",2573.0,2.9,Q1,0.6,100.0,SCIE
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,J FORMOS MED ASSOC,96/315,80/336,0929-6646,1876-0821,"MEDICINE, GENERAL & INTERNAL",6392.0,2.8,Q1,0.83,100.0,SCIE
Clinics and Practice,CLINICS PRACT,102/315,80/336,2039-7275,2039-7283,"MEDICINE, GENERAL & INTERNAL",1997.0,2.8,Q1,0.68,100.0,ESCI
MEDICINA CLINICA,MED CLIN-BARCELONA,112/315,80/336,0025-7753,1578-8989,"MEDICINE, GENERAL & INTERNAL",3999.0,2.8,Q1,0.56,18.78,SCIE
CURRENT MEDICAL RESEARCH AND OPINION,CURR MED RES OPIN,82/315,80/336,0300-7995,1473-4877,"MEDICINE, GENERAL & INTERNAL",8194.0,2.8,Q1,0.53,10.13,SCIE
International Journal of Health Sciences-IJHS,INT J HEALTH SCI-IJH,114/315,80/336,1658-3639,1658-7774,"MEDICINE, GENERAL & INTERNAL",1672.0,2.8,Q1,0.41,22.73,ESCI
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,ANAT REC,5/22,3/25,1932-8486,1932-8494,ANATOMY & MORPHOLOGY,7878.0,2.6,Q1,1.36,44.92,SCIE
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,ANN ANAT,8/22,4/25,0940-9602,1618-0402,ANATOMY & MORPHOLOGY,3766.0,2.4,Q1,1.28,35.8,SCIE
CLINICAL ANATOMY,CLIN ANAT,6/22,4/25,0897-3806,1098-2353,ANATOMY & MORPHOLOGY,6441.0,2.4,Q1,1.28,38.99,SCIE
Frontiers in Neuroanatomy,FRONT NEUROANAT,2/22,4/25,1662-5129,1662-5129,ANATOMY & MORPHOLOGY,4672.0,2.4,Q1,0.94,100.0,SCIE
